整数	せいすう	Integer
この問題どうにかしなければならない	このもんだいどうにかしなければならない	We Must Somehow Resolve The Problem
なんとなく→これはなんとなく面白そうな本だ	なんとなく→これはなんとなくおもしろそうなほんだ	This Book is Sort Of Interesting
なんとも〜ない→そんなこと、なんとも思わない	なんとも〜ない→そんなこと、なんともおもわない	I don’t Care About It
もし(も)→もし(も)100万円あったら...	もし(も)→もし(も)100まんえんあったら	If I had One Million Yen
もしかすると・もしかしたら→もしかすると、彼の話はうそかもしれない	もしかすると・もしかしたら→もしかすると、かれのはなしはうそかもしれない	He Could Be Telling a Lie
なるべく(=できるだけ)→早く来て下さい	なるべく(=できるだけ)→はやくきてください	Please Come Early If We Can
なるほど→なるほど面白い本だ	なるほど→なるほどおもしろいほんだ	It Certainly Is An Interesting Book
確か→あの人は、確か(=多分)林さんのお父さんだと思う	たしか→あのひとは、たしか(=たぶん)はやしさんのおとうさんだとおもう	I Think He is Hayashi San's Father
確かに→あの人は、確かに(=間違いなく)林さんのお父さんだ	たしかに→あのひとは、たしかに(=まちがいなく)はやしさんのおとうさんだ	That Guy Is Definitely Hayashi-San's Father
まもなく→コンサートがまもなく(=もうすぐ)始まる	まもなく→こんさーとがまもなく(=もうすぐ)はじまる	The Concert Will Start Soon
まもなく→家に帰ってまもなく(=少し後)客が来た	まもなく→いえにかえってまもなく(=すこしあと)きゃくがきた	Soon After I Came Home, A Guest Arrived
近々→近々(＝近日中に)お伺います	ちかぢか→ちかぢか(=きんじつちゅうに)おうかがいます	I will Come To See Yoo Sometime Soon
そのうち→そのうちわかるようになるでしょう	そのうち→そのうちわかるようになるでしょう	You Will Understand Someday
やがて→やがて夏休みも終わる	やがて→やがてなつやすみもおわる	The Summer Holiday Will Soon Be Over
やがて→父が死んでやがて1年になる	やがて→ちちがしんてやがていちねんになる	It Will Soon Be A Year Since My Father Passed Away
ようやく→ようやく(=やっと)暖かくなってきた	ようやく→ようやく(=やっと)あたたかくなってきた	It's Finally Getting Warmer
いずれ→いずれ(いつか)こうなると思っていた	いずれ→いずれ(いつか)こうなるとおもっていた	I Figured That It Would Eventually Be Like This
たちまち→チケットはたちまち(=すぐに)売り切れた	たちまち→ちけっとはたちまち(=すぐに)うりきれた	The Tickets Were Immediately Sold Out
ただちに→ただちに(=すぐに)出発したほうがいい	ただちに→ただちに(すぐに)しゅっぱつしたほうがいい	You’d Better Go Right Away
にわかに→にわかに(=急に)空が曇って来た	にわかに→にわかに(=きゅうに)そらがくもってきた	Suddenly The Sky Became Overcast
にわか雨	にわかあめ	A Sudden Shower
絶えず→絶えず水が流れている	たえず→たえずみずがながれている	The Water Is Constantly Running
つねに→つねに(=いつも)健康に注意する	つねに→つねに(=いつも)けんこうにちゅういする	Keep Health In Mind
しきりに→しきりに(=何度も)電話が鳴る	しきりに→しきりに(=なんども)でんわがなる	Praise Repeatedly
しよっちゅう→しよっちゅう(=よく)酒を飲む	しよっちゅう→しよっちゅう(=よく)さけをのむ	Frequently Drink Alchohol
(もう)すでに→(その絵はすでに売れてしまった	(もう)すでに→そのえはすでにうれてしまった	The Painting Has Already Been Sold
とっくに→期限はとっくに(=ずいぶん前に)過ぎている	とっくに→きげんはとっくに(=ずいぶんまえに)すぎている	The Deadline Has Already Passed
とっくの(=ずっと)昔	とっくの(=ずっと)むかし	Long Ago
前もって→前もって調べておく	まえもって→まえもってしらべておく	Look into...In Advance
ほぼ→ほぼ(=約)1万円	ほぼ→ほぼ(=やく)1まんえん	Approximately (About) 10,000 Yen
お(お)よそ→おおよそ・およそ(=だいたい)2週間	お(お)よそ→おおよそ・およそ(=だいたい)2しゅうかん	Approximately (roughly) 2 weeks
ほんの→ほんの少し	ほんの→ほんのすこし	A Tiny Bit (Very Little)
たった→たった一人で	たった→たったひとりで	All By Oneself
せいぜい→出席者はせいぜい30人程度だ	せいぜい→しゅっせきしゃはせいぜい30にんていどだ	There Will Be Only About 30 Attendants
少なくとも→少なくとも30人は来る	すくなくとも→すくなくとも30ひとはくる	At Least 30 People are Coming
せめて→せめて5位以内になりたかった	せめて→せめて5いいないになりたかった	I was Hoping to Come in no Worse Than Fifth
せめて→せめて声だけでも聞きたい	せめて→せめてこえだけでもききたい	If Only I Could Hear His/Her Voice
たびたび・しばしば→「たびたびお電話してすみません」	たびたび・しばしば→「たびたびおでんわしてすみません」	Sorry For Phoning You So Many Times
いよいよ→いよいよ明日出発します	いよいよ→いよいよあしたしゅっぱつします	I Will Finally Depart Tomorrow
いちいち→いちいち文句を言う	いちいち→いちいちもんくをいう	Complain About Everything
ふわふわ(する)→このタオルはふわふわしている	ふわふわ(する)→このたおるはふわふわしている	This Towel is Very Soft
ふわふわ(する)→ふわふわと浮かぶ雲	ふわふわ(する)→ふわふわとうかぶくも	Floating Clouds in the Sky
まごまごする→分からなくてまごまごする	まごまごする→わからなくてまごまごする	Be At A Loss
それぞれ・めいめい・ひとりひとり・各々→それぞれ意見を述べる	それぞれ・めいめい・ひとりひとり・おのおの→それぞれいけんをのべる	Each Person Voices His/Her Opinions
ばったり→友達にばったり会う	ばったり→ともだちにばったりあう	Bump Into A Friend
こっそり→こっそり逃げる	こっそり→こっそりにげる	Sneak Out
ぴったり→ぴったりくっつく	ぴったり→ぴったりくっつく	Stick Tightly
ぎっしり→みかんがぎっしりつまっている	ぎっしり→みかんがぎっしりつまっている	It is packed with Tangerines
ぎっしり→予定がぎっしり入っている	ぎっしり→よていがぎっしりはいっている	The Schedule is Tight
じつくり→じつくり読む	じつくり→じつくりよむ	Read Slowly And Carefully
ちらっと・ちらりと→ちらっと見る	ちらっと・ちらりと→ちらっとみる	Glance At
うんざり(する)→親の説教にうんざりする	うんざり(する)→おやのせっきょうにうんざりする	Get Fed Up With One’s Parents' Lectures
びっしょり→急に雨が降ってびっしょりぬれた	びっしょり→きゅうにあめがふってびっしょりぬれた	I Got Soaked in a Sudden Rain
しいんとする→しいんとする・シーンとする	しいんとする→しいんとする・シーンとする	Be All Quiet
しいんとする→しいんと・シーンと静かになる	しいんとする→しいんと・シーンとしずかになる	It Falls Still and Silent
ずらりと・ずらっと→本がずらりと並んでいる	ずらりと・ずらっと→ほんがずらりとならんでいる	Books Are Lined Up
さっさと→さっさと帰る	さっさと→さっさとかえる	Leave at Once
せっせと→せっせと働く	せっせと→せっせとはたらく	Work Steadily
どっと→客がどっと来る	どっと→きゃくがどっとくる	Customers Pour Into
どっと→どっと疲れる	どっと→どっとつかれる	Suddenly Feel Exhausted
すっとする→すっと立ち上がる	すっとする→すっとたちあがる	Stand Up Abruptly
気分がすっとする	きぶんがすっとする	Feel Refreshed
ひとりでに→ドアがひとりでに開く	ひとりでに→どあがひとりでにあく	The Door Opens By Itself
いっせいに→いっせいに立ち上がる	いっせいに→いっせいにたちあがる	Stand Up All At Once
相当・かなり→田中さんは、相当気が強い	そうとう・かなり→たなかさんは、そうとうきがつよい	Tanaka-San is Rather Strong Minded
大いに→友人と大いに語り合う	おおいに→ゆうじんとおおいにかたりあう	Have a Long Talk with Friends
大いに→可能性は大いにある	おおいに→かのうせいはおおいにある	There is Great Possibility
うんと→うんと便利になる	うんと→うんとべんりになる	Become Extremely Convenient
うんと→お金がうんとある	うんと→おかねがうんとある	Have a Lot of Money
たっぷり→水をたっぷり飲む	たっぷり→みずをたっぷりのむ	Drink a Lot of Water
たっぷり→時間がたっぷりある	たっぷり→じかんがたっぷりある	Have an Ample Time
あまりにも→あまりにも難しい問題	あまりにも→あまりにもむずかしいもんだい	An Overly Difficult Problem To Solve
やや→やや大きめの茶わん	やや→ややおおきめのちゃわん	A little Bigger Rice Bowl
多少→多少イタリアン語が話せます	たしょう→たしょういたりあんごがはなせます	I Can Speak Some Italian
いくぶん・いくら→景気がいくぶん良くなかった	いくぶん・いくら→けいきがいくぶんよくなかった	The Economic Situation Has Improved a Little
わりに・わりと→わりに・わりと(=比較的)やさしい問題	わりに・わりと→わりに・わりと(=ひかくてき)やさしいもんだい	A Relatively Easy Problem
わりあいに→わりあいに早く着いた	わりあいに→わりあいにはやくついた	I Unexpectedly Arrived Early
なお(いっそう)→これのほうが、なお安い	なお(いっそう)→これのほうが、なおやすい	The One is EvenCheaper Than That
より(いっそう)→これのほうが、より難しい	より(いっそう)→これのほうが、よりむずかしい	This One is Even More Difficult
むしろ→AよりむしろBのほうがいい	むしろ→AよりむしろBのほうがいい	I Would Rather Have B Than A
余計に→そうすると、余計分かるなくなる	よけいに→そうすると、よけいわかるなくなる	You Would Get More Confused If You Did So
じょじょに→じょじょにうまくなる	じょじょに→じょじょにうまくなる	Get Better Little by Little
次第に→雪が次第にとける	しだいに→ゆきがしだいにとける	The Snow Gradually Melts
さらに→さらに美味しくなる	さらに→さらにおいしくなる	Become More Delicious
一段と→寒さが一段と寂しくなる	いちだんと→さむさがいちだんとさびしくなる	It becomes a Lot Colder
ぐっと→ぐっと良くなった	ぐっと→ぐっとよくなった	It has Imrpoved A Lot
めっきり→めっきり寒くなる	めっきり→めっきりさむくなる	It Becomes Noticeably Cool
主に→この雑誌の対象は、主に中学生だ	おもに→このざっしのたいしょうは、おもにちゅうがくせいだ	This Magazine is Mainly For Junior High School Student
くれぐれも→くれぐれもご両親に宜しくお伝えください	くれぐれも→くれぐれもごりょうしんによろしくおつたえください	Please Send My Best Regards To Your Parents
一応→工事は一応完成した	いちおう→こうじはいちおうかんせいした	The Construction Has More or Less Finished
一般に→一般に女性のほうが長生きをする	いっぱんに→いっぱんじょせいのほうがながいきをする	Generally Women Live Longer
明らかに→明らかに違う	あきらかに→あきらかにちがう	It is Obviously Wrong
いわば→昨日の会議は、いわば宴会のようなものだった	いわば→きのうのかいぎは、いわばえんかいのようなものだった	Yesterday's Meeting was Like a Party
いわゆる→古典音楽とは、いわゆるクラシックのことを言う	いわゆる→こてんおんがくとは、いわゆるくらしっくのことをいう	Koten -Ongaku Means So-Call Classical Music
まさか→まさかこんな事件が起きるとは....	まさか→まさかこんなじけんおきるとは....	We Never Imagined That Such An Event Would Ever Happen
まさに→まさにあなたの言う通りです	まさに→まさにあなたのいうとおりです	What are you Saying is Perfectly Right
まさに→今まさに夜が明けよいとしている	まさに→いままさによがあけよいとしている	The Day is Just Breaking
一度に・いっぺんに→一度に覚えるのは無理だ	いちどに。いっぺんに→いちどにおぼえるのはむりだ	It is Impossible to Memorize Everything at Once
一気に→ビールを一気に飲む	いっきに→びーるをいっきにのむ	Gulp Down a Mug of Beer
思い切り→父に思い(っ)切りしかられた	おもいきり→ちちにおもい(っ)きりしかられた	My Father Severely Reprimanded Me
思い切って→思い切って転職する	おもいきって→おもいきっててんしょくする	Take the Plunge and Change Jobs
思わず→痛くて思わず叫んだ	おもわず→いたくておもわずさけんだ	I Cried out with Pain
思いがけず・思いがけなく→思いがけず昔の友人に会った	おもいがけず・おもいがけなく→おもいがけずむかしのゆうじんにあった	Unexpectedly I bumped into my old friend
なにしろ→なにしろ(=とにかく)忙しいくて食事をとる時間もない	なにしろ→なにしろ(=とにかく)いそがしくてしょくじをとるじかんもない	I Have Been too busy to Eat
なにかと→来週はなにかと忙しい	なにかと→らいしゅうはなにかといそがしい	I Will Be Very Busy With This and That Next Week
相変わらず→あの店は相変わらず混んでいる	あいかわらず→あのみせはあいかわらずこんでいる	The Shop is As Busy as Ever
取り合いず→取り合いず何か食べよう	とりあいず→とりあいずなにかたべよう	Let's Eat First
取り合いず→取り合いず問題はないだろう	とりあいず→とりあいずもんだいはないだろう	Let's Not Worry About it Now
わざと→時計をわざと進めせる	わざと→とけいをわざとすすめせる	Intentionally Set The Clock Ahead
わざわざ→わざわざお越しいいただいて	わざわざ→わざわざおこしいただいて	I Appreciate You Coming
いっそう→これのほうが、(なお)いっそう大きい	いっそう→これのほうが、(なお)いっそうおおきい	This One is a Lot Bigger
いっそ→苦しくてがまんできない。いっそ死にたい	いっそ→くるしくてがまんできない。いっそしにたい	I Cannot bear the Pain Anymore, I'd rather Die
今に→そんなことをしていると、今に後悔しますよ	いまに→そんなことをしていると、いまにこうかいしますよ	You Will Someday Regret What You are Doing Now
今にも→今にも雨が降りそうだ	いまにも→いまにもあめがふりそうだ	It Looks Like It's Going to Rain Any Minute
今さら→今さらできないと言われても困る	いまさら→いまさらできないといわれてもこまる	It is Too Late For You To Renege
未だに→未だにその事件は解決していない	いまだに→いまだにそのじけんはかいけつしていない	The Crime Has Still Not Been Solved
ただ今→田中は、ただいま、席を外しています	ただいま→たなかは、ただいま、せきをはずしています	Tanaka San is not here at the moment
たった今→彼はたった今帰った	たったいま→かれはたったいまかえった	He Has Just Left
別に欲しいものはない	べつにほしいものはない	I don't really need anything
この問題はそう難しくない	このもんだいはそうむずかしくない	This problem is not that difficult
大して勉強しなかったが、合格できた	たいしてべんきょうしなかったが、ごうかくできた	I passed the exam although I did not study much
私はその事件とは一切関係ない	わたしはそのじけんとはいっさいかんけいない	I have nothing to do with the case
彼はとても50歳には見えない	かれはとても50さいにはみえない	He doesn't at all look 50 years old
彼女は恐らく結婚しないだろう	かのじょはおそらくけっこんしないだろう	She Won't Most Probably Get Married
どうやら雨が降りそうだ	どうやらあめがふりそうだ	It looks like it is going to rain
彼の話は果たして本当だろうか	かれのはなしははたしてほんとうだろうか	Is his story really true?
やってもどうせだめだろう	やってもどうせだめだろう	It probably won't work out even if I try it
せっかく覚えたのに、テストに出なかった	せっかくおぼえたのに、てすとにでなかった	I spent some time memorising them but they were not on the test
せっかくここまで来たら、彼の家に寄ってみよう	せっかくここまできたら、かれのいえによってみよう	Let's drop by his house since we are in the area
一旦・一度・ひとたび→一旦約束したら、守るべきだ	いったん・いちど・ひとたび→いったんやくそくしたら、まもるべきだ	Once you make a promise, you should keep it
一旦・ひとまず→一旦休んで、午後からまた始めよう	いったん・ひとまず→いったんやすんで、ごごからまたはじめよう	Let's Take a Break and Start Again in the afternoon
かえって→近道したら、かえって時間がかかった	かえって→ちかみちしたら、かえってじかんがかかった	We took a shortcut but it actually took us more time
さっそく→ご注文の品を早速お送りします。	さっそく→ごちゅうもんのしなをさっそくおおくりします	I will send the items you ordered right away
さすがに→さすがに先生はよく知っている	さすかに→さすがにせんせいはよくしっている	That is just what we expected from our dedicated teacher!
おいにく→その日はあいにく都合が悪いです	おいにく→そのひはおいにくつごうがわるいです	Unfortunately I am not available (I can't make it)
あくまで(も)→彼はあくまで自分が正しいと主張した	あくまで(も)→かれはあくまでじぶんがただしいとしゅちょうした	He Insisted That He Was Right
なんだが・なんとなく・なぜか→なんだか眠い	なんだか・なんとなく・なぜか→なんだかねむい	I feel sleepy for some reason
なんと・なんて→なんときれいな人だろう	なんと・なんで→なんときれいなひとだろう	What a beautiful Woman
